"","time","sumi_death2","sumi_death2u","sumi_death2l","sumi_fed2","sumi_fed2l","sumi_fed2u"
"26",26,0.571571580863066,0.715220956954571,0.566081599309046,0.0204115949888846,0.0223546550213218,0.0184384234152124
"27",27,0.572560045835085,0.715954108203631,0.566971413681205,0.0207055243836332,0.0226837875947734,0.0186981546238899
"28",28,0.573540520769591,0.716676952273592,0.567852025399029,0.0210031254404059,0.023017132343162,0.0189610489559903
"29",29,0.574512960313404,0.717389488807111,0.568723385296464,0.0213044337236422,0.0233547312705007,0.0192271360037395
"30",30,0.575477319523092,0.718091717907989,0.569585444702659,0.0216094849607084,0.0236966265833349,0.0194964454829235
"31",31,0.576433553867687,0.718783640135482,0.570438155445663,0.021918315039324,0.0240428606875878,0.0197690072307048
"32",32,0.577381619231358,0.719465256498622,0.571281469856073,0.0222309600049199,0.0243934761853119,0.0200448512033881
"33",33,0.578321471916028,0.720136568450541,0.572115340770633,0.0225474560579251,0.0247485158713477,0.0203240074741338
"34",34,0.579253068643943,0.720797577882805,0.572939721535781,0.0228678395509841,0.0251080227298865,0.020606506230619
"35",35,0.580176366560192,0.721448287119767,0.57375456601115,0.0231921469861027,0.0254720399309399,0.0208923777726471
"36",36,0.581091323235174,0.722088698912922,0.574559828573018,0.0235204150117232,0.0258406108267114,0.0211816525097035
"37",37,0.581997896667022,0.722718816435285,0.575355464117708,0.0238526804197271,0.0262137789478732,0.0214743609584607
"38",38,0.582896045283966,0.723338643275787,0.576141428064942,0.0241889801423671,0.0265915879997446,0.0217705337402294
"39",39,0.583785727946661,0.723948183433682,0.576917676361149,0.0245293512491261,0.0269740818583733,0.0220702015783573
"40",40,0.584666903950457,0.724547441312982,0.577684165482715,0.024873830943504,0.0273613045665178,0.022373395295576
"41",41,0.585539533027623,0.72513642171691,0.578440852439201,0.0252224565597315,0.0277533003295317,0.022680145811294
"42",42,0.586403575349527,0.725715129842374,0.5791876947765,0.0255752655594113,0.0281501135111477,0.0229904841388377
"43",43,0.587258991528762,0.726283571274473,0.579924650579956,0.0259322955280855,0.028551788629162,0.0233044413826397
"44",44,0.588105742621229,0.72684175198102,0.580651678477432,0.0262935841717305,0.0289583703510188,0.0236220487353738
"45",45,0.588943790128177,0.727389678307099,0.581368737642336,0.0266591693131768,0.0293699034892926,0.0239433374750382
"46",46,0.589773095998189,0.727927356969651,0.582075787796595,0.0270290888884565,0.0297864329970706,0.024268338961985
"47",47,0.590593622629124,0.728454795052089,0.582772789213592,0.0274033809430758,0.0302080039632325,0.0245970846358984
"48",48,0.591405332870022,0.728971999998943,0.583459702721055,0.0277820836282139,0.0306346616076286,0.024929606012719
"49",49,0.592208190022952,0.72947897961054,0.584136489703895,0.0281652351968479,0.0310664512761556,0.0252659346815172
"50",50,0.593002157844824,0.729975742037722,0.584803112107011,0.0285528739998027,0.031503418435729,0.0256061023013133
"51",51,0.593787200549153,0.730462295776594,0.585459532438045,0.0289450384817277,0.0319456086691539,0.0259501405978462
"52",52,0.594563282807783,0.730938649663311,0.586105713770092,0.0293417671769981,0.0323930676698909,0.0262980813602896
"53",53,0.595330369752565,0.731404812868904,0.586741619744374,0.0297430987055428,0.0328458412367201,0.026649956437917
"54",54,0.596088426976989,0.731860794894149,0.587367214572866,0.0301490717685973,0.0333039752683006,0.027005797736715
"55",55,0.596837420537786,0.732306605564464,0.587982463040882,0.0305597251443829,0.0337675157576267,0.0273656372159455
"56",56,0.597577316956476,0.732742255024865,0.588587330509616,0.0309750976837118,0.0342365087863802,0.027729506884656
"57",57,0.598308083220879,0.733167753734951,0.589181782918652,0.0313952283055171,0.0347110005191786,0.0280974387981408
"58",58,0.599029686786589,0.733583112463937,0.589765786788419,0.0318201559923105,0.0351910371977203,0.0284694650543501
"59",59,0.599742095578403,0.733988342285735,0.590339309222617,0.0322499197855651,0.0356766651348246,0.0288456177902498
"60",60,0.600445277991716,0.734383454574075,0.590902317910597,0.0326845587810249,0.0361679307083692,0.0292259291781311
"61",61,0.601139202893869,0.734768460997678,0.591454781129706,0.0331241121239413,0.036664880355123,0.0296104314218713
"62",62,0.601823839625468,0.73514337351547,0.591996667747586,0.033568619004236,0.0371675605644762,0.0299991567531444
"63",63,0.602499158001657,0.735508204371853,0.592527947224443,0.0340181186515914,0.0376760178720663,0.0303921374275837
"64",64,0.603165128313361,0.735862966092017,0.593048589615271,0.0344726503304683,0.0381902988533011,0.0307894057208963
"65",65,0.603821721328483,0.736207671477308,0.593558565572038,0.0349322533350518,0.0387104501167793,0.0311909939249291
"66",66,0.604468908293077,0.736542333600641,0.594057846345842,0.0353969669841246,0.039236518297608,0.0315969343436881
"67",67,0.605106660932474,0.736866965801972,0.594546403789019,0.0358668306158698,0.039768550050618,0.0320072592893097
"68",68,0.605734951452378,0.737181581683815,0.595024210357225,0.0363418835826019,0.0403065920434773,0.0324220010779872
"69",69,0.606353752539928,0.737486195106816,0.595491239111472,0.0368221652454277,0.0408506909497034,0.0328411920258497
"70",70,0.606963037364724,0.737780820185383,0.59594746372013,0.0373077149688371,0.0414008934415746,0.0332648644447971
"71",71,0.607562779579821,0.738065471283362,0.596392858460905,0.0377985721152242,0.0419572461829406,0.0336930506382892
"72",72,0.608152953322687,0.738340163009777,0.596827398222762,0.0382947760393392,0.0425197958219339,0.0341257828970909
"73",73,0.608733533216135,0.738604910214621,0.597251058507825,0.0387963660826725,0.0430885889835812,0.0345630934949749
"74",74,0.609304494369217,0.738859727984703,0.597663815433246,0.0393033815677705,0.0436636722623171,0.0350050146843795
"75",75,0.609865812378087,0.73910463163955,0.598065645733027,0.0398158617924841,0.0442450922143997,0.0354515786920255
"76",76,0.610417463326838,0.739339636727375,0.598456526759815,0.0403338460241513,0.0448328953502291,0.0359028177144914
"77",77,0.610959423788305,0.739564759021088,0.598836436486668,0.0408573734937134,0.0454271281265697,0.0363587639137468
"78",78,0.611491670824839,0.739780014514377,0.599205353508778,0.0413864833897665,0.0460278369386777,0.0368194494126463
"79",79,0.612014181989052,0.739985419417843,0.599563257045163,0.0419212148525489,0.0466350681123335,0.0372849062903839
"80",80,0.612526935324534,0.740180990155194,0.599910126940333,0.0424616069678641,0.0472488678957811,0.0377551665779088
"81",81,0.613029909366542,0.740366743359494,0.600245943665915,0.0430076987609427,0.0478692824515752,0.0382302622533018
"82",82,0.613523083142658,0.740542695869482,0.600570688322248,0.0435595291902413,0.0484963578483367,0.0387102252371172
"83",83,0.614006436173427,0.740708864725939,0.600884342639948,0.0441171371411807,0.0491301400524188,0.0391950873876858
"84",84,0.614479948472962,0.740865267168123,0.601186888981436,0.044680561419825,0.0497706749194826,0.039684880496384
"85",85,0.614943600549526,0.741011920630257,0.601478310342442,0.0452498407465009,0.0504180081859866,0.0401796362828677
"86",86,0.615397373406088,0.741148842738089,0.601758590353467,0.0458250137493593,0.0510721854605891,0.0406793863902725
