"","time","acte_death2","acte_death2u","acte_death2l","acte_fed2","acte_fed2l","acte_fed2u"
"74",74,0.714315000573807,0.727440804347248,0.699988718638134,0.0260384277317698,0.0281096530042815,0.0239855027796451
"75",75,0.713934171383299,0.727232852097848,0.69942266727225,0.0264586565312581,0.0285654217264592,0.024370434941518
"76",76,0.713537681326155,0.727010336513958,0.698839877492304,0.0268847963093492,0.0290275840833237,0.0247607834047897
"77",77,0.713125541446417,0.726773262453602,0.698240369831511,0.0273169121939678,0.0294962088765409,0.0251566088572011
"78",78,0.712697763614027,0.726521635394448,0.697624165912843,0.0277550696544409,0.0299713652078809,0.0255579723461018
"79",79,0.712254360529195,0.726255461436329,0.696991288455071,0.0281993344947985,0.0304531224704418,0.0259649352734709
"80",80,0.7117953457268,0.725974747303835,0.696341761278792,0.0286497728468507,0.030941550339623,0.026377559390745
"81",81,0.711320733580841,0.725679500348974,0.695675609312426,0.0291064511630397,0.0314367187638453,0.0267959067934523
"82",82,0.71083053930891,0.725369728553892,0.694992858598196,0.0295694362090644,0.0319386979550183,0.027220039915649
"83",83,0.710324778976712,0.72504544053367,0.694293536298063,0.0300387950562759,0.0324475583787526,0.0276500215241579
"84",84,0.709803469502603,0.72470664553917,0.693577670699627,0.0305145950738421,0.0329633707443156,0.0280859147126056
"85",85,0.709266628662161,0.724353353459956,0.692845291221985,0.0309969039206795,0.0334862059943311,0.0285277828952566
"86",86,0.708714275092778,0.723985574827265,0.692096428421537,0.0314857895371506,0.0340161352942194,0.0289756898006426
"87",87,0.70814642829827,0.723603320817041,0.691331113997735,0.0319813201365257,0.0345532300213798,0.0294296994649853
"88",88,0.707563108653508,0.723206603253022,0.690549380798776,0.032483564196206,0.0350975617541126,0.0298898762254102
"89",89,0.706964337409051,0.722795434609883,0.68975126282722,0.0329925904487096,0.0356492022602814,0.03035628471295
"90",90,0.706350136695804,0.72236982801643,0.688936795245546,0.0335084678724158,0.0362082234857139,0.0308289898453358
"91",91,0.705720529529663,0.721929797258848,0.688106014381616,0.034031265682068,0.0367746975423429,0.0313080568195741
"92",92,0.705075539816176,0.721475356783987,0.687258957734073,0.034561053319035,0.0373486966960846,0.031793551104309
"93",93,0.704415192355192,0.721006521702707,0.686395663977628,0.0350979004413273,0.0379302933544565,0.0322855384319665
"94",94,0.703739512845512,0.720523307793252,0.685516172968266,0.0356418769133698,0.0385195600539339,0.0327840847906809
"95",95,0.703048527889518,0.720025731504679,0.684620525748346,0.0361930527955281,0.0391165694470449,0.0332892564160007
"96",96,0.7023422649978,0.719513809960315,0.683708764551589,0.0367514983333896,0.0397213942892051,0.033801119782374
"97",97,0.701620752593755,0.718987560961256,0.682780932807954,0.0373172839467967,0.0403341074252922,0.0343197415944106
"98",98,0.700884020018169,0.718447002989896,0.681837075148395,0.0378904802186334,0.0409547817759603,0.0348451887779206
"99",99,0.700132097533771,0.717892155213491,0.680877237409488,0.038471157883364,0.0415834903236963,0.0353775284707291
"100",100,0.699365016329751,0.717323037487747,0.679901466637928,0.0390593878153235,0.0422203060986181,0.035916828013264
"101",101,0.698582808526251,0.71673967036044,0.678909811094886,0.03965524101676,0.0428653021640159,0.0364631549389178
"102",102,0.697785507178807,0.716142075075051,0.677902320260219,0.0402587886056291,0.043518551601639,0.0370165769641819
"103",103,0.696973146282755,0.71553027357443,0.676879044836531,0.0408701018031401,0.0441801274967271,0.0375771619785526
"104",104,0.696145760777581,0.714904288504468,0.675840036753071,0.0414892519210539,0.0448501029227914,0.0381449780342085
